,model,r_square_score,mae_score,mse_score,rmse_score,mape_score
0,{'RandomForestRegressor'},0.7434,45969021.8056,6.457775367978202e+17,803602847.679,319.0139
1,{'LinearRegression'},-1.0401953227870052e+19,4.8765392329796456e+16,2.617891170471165e+37,5.116533172443197e+18,34232270810910.516
2,{'DecisionTreeRegressor'},0.6877,61529303.1599,7.860452415680822e+17,886591925.0524,179.9336
3,{'GradientBoostingRegressor'},0.8624,46492332.9887,3.4639898117097146e+17,588556693.2514,57148.5984
4,{'KNeighborsRegressor'},0.0173,139294879.8387,2.473279172630281e+18,1572666262.3171,458978.8575
5,{'XGBRegressor'},0.3385,60758266.1995,1.6646990772187277e+18,1290232179.5781,47512.7259
6,{'LGBMRegressor'},0.3362,61758405.1777,1.6704814278615196e+18,1292471054.9415,26637.3461
7,{'CatBoostRegressor'},0.3005,61650289.6117,1.7603276284999624e+18,1326773390.0331,65702.4936
8,{'Ridge'},0.7386,97982540.4003,6.578876912782551e+17,811102762.4649,995105.8973
9,{'Lasso'},0.7674,109087822.6492,5.854042391810451e+17,765117140.8229,1153790.8135
10,{'MLP'},-0.0037,97709269.3101,2.5260297708206623e+18,1589348851.2031,29206.3388
11,{'ElasticNet'},0.0019,159004624.1893,2.511896298601041e+18,1584896305.315,1699589.7105
12,{'Keras'},-0.0005,97025885.4355,2.5178682655188516e+18,1586779211.3331,73028.5586
