model,r_square_score,mae_score,mse_score,rmse_score,mape_score
'XGBRegressor',0.4766,11184218.0148,906854947331766.9,30114032.3991,2986.0498
'RandomForestRegressor',0.4548,11595401.6437,944605735851341.9,30734438.922,3278.3372
'DecisionTreeRegressor',-0.2797,15212351.1213,2217251780346140.2,47087703.0693,2852.2539
'GradientBoostingRegressor',0.4496,11051008.422,953680150690856.1,30881712.237,2770.9701
'LGBMRegressor',0.5223,10004989.3291,827616568809142.9,28768325.7909,2178.1851
'CatBoostRegressor',0.553,9710923.1693,774522822760954.4,27830250.1383,2100.8136
