,model,r_square_score,mae_score,mse_score,rmse_score,mape_score,transformation
0,RandomForestRegressor,0.9337462878583263,0.5812739349172753,0.6156985779335172,0.7846646276808438,4.543326831716675,log
1,LinearRegression,-9.893136861510165e+21,2889893933.527476,9.193734358473921e+22,303211714128.4934,23758648241.619164,log
2,DecisionTreeRegressor,0.8702332107627353,0.8143806702331648,1.2059283172772863,1.0981476755324333,6.325882337550162,log
3,GradientBoostingRegressor,0.8892065127737825,0.7532038056478211,1.0296086109652078,1.0146963146504513,6.169304692957447,log
4,KNeighborsRegressor,0.05907183501411706,2.325244395355364,8.744085642787752,2.957040013727875,18.66843757830438,log
5,XGBRegressor,0.9378176664623975,0.5631233564393531,0.5778630825971154,0.7601730609519883,4.395191156784919,log
6,LGBMRegressor,0.9386004813731766,0.5605811939892177,0.5705883501818021,0.7553729874583828,4.377517798082295,log
7,CatBoostRegressor,0.9410151665260262,0.546396043667447,0.5481485778776092,0.7403705679439244,4.260108838633416,log
8,Ridge,0.25484208070904124,2.027493781377981,6.924784384341843,2.63149850547969,16.433903335403848,log
9,Lasso,-4.153691603803189e-05,2.410728279712658,9.293428734031064,3.0485125445093817,19.518396247307535,log
10,MLP,0.7058416171624434,1.2533295717456254,2.7336264210075294,1.6533682049100646,10.44733165641997,log
11,ElasticNet,-4.153691603803189e-05,2.410728279712658,9.293428734031064,3.0485125445093817,19.518396247307535,log
12,Keras,-0.15917120985137512,2.6293431616984293,10.772227584181614,3.2821071865771865,22.853945937409065,log
