,model,r_square_score,mae_score,mse_score,rmse_score,mape_score
0,{'grid_search_xgb'},0.3062,66677055.7425,1.7461496405327936e+18,1321419555.0743,60327.4395
1,{'random_search_xgb'},0.3062,66677055.7425,1.7461496405327936e+18,1321419555.0743,60327.4395
