,model,r_square_score,mae_score,mse_score,rmse_score,mape_score
0,{'grid_search_xgb'},0.8947,0.5547,0.5639,0.751,inf
1,{'Keras'},0.7105,1006335.8571,5170487041709.505,2273870.498,93.5441
2,{'random_search_xgb'},0.8947,0.5547,0.5639,0.751,inf
3,{'random_search_xgb'},0.8947,0.5547,0.5639,0.751,inf
4,{'Keras'},0.7105,1006335.8571,5170487041709.505,2273870.498,93.5441
